def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	1	C6H12NO2+	130.086255		C6H12NO2	130.0789	130.0947												1								
1	1	C7H16NO+	130.122641		C7H16NO	130.1147	130.1306												1								
1	1	C8H20N+	130.159026		C8H20N	130.1516	130.1675												1								
1	1	C5H7O4+	131.033885		C5H7O4	131.0259	131.0419												1								
1	1	C9H7O+	131.049141		C9H7O	131.0412	131.0571												1								
1	1	C8H7N2+	131.060375		C8H7N2	131.0524	131.0684												1								
1	1	C6H11O3+	131.070271		C6H11O3	131.0623	131.0783												1								
1	1	C10H11+	131.085527		C10H11	131.0775	131.0935												1								
1	1	C7H15O2+	131.106656		C7H15O2	131.0987	131.1146												1								
1	1	C8H19O+	131.143042		C8H19O	131.1351	131.1510												1								
1	1	C7H19N2+	131.154275		C7H19N2	131.1463	131.1623												1								
1	1	C2H[35Cl]2[37Cl]+	131.910884		C2H[35Cl]2[37Cl]	131.9032	131.9186												1						explIso		
1	1	C3H2NO5+	131.992749		C3H2NO5	131.9847	132.0008												1								
1	1	C4H6NO4+	132.029134		C4H6NO4	132.0211	132.0372												1								
1	1	C8H6NO+	132.044390		C8H6NO	132.0364	132.0524												1								
1	1	C2H12O6+	132.062840		C2H12O6	132.0548	132.0709												1								
1	1	C5H10NO3+	132.065520		C5H10NO3	132.0575	132.0736												1								
1	1	CH12N2O5+	132.074073		CH12N2O5	132.0660	132.0821												1								
1	1	C6H12O3+	132.078096		C6H12O3	132.0706	132.0867												1								
1	1	C9H10N+	132.080776		C9H10N	132.0727	132.0888												1								
1	1	C10H12+	132.093352		C10H12	132.0859	132.1019												1								
1	1	C3H16O5+	132.099225		C3H16O5	132.0912	132.1073												1								
1	1	C6H14NO2+	132.101905		C6H14NO2	132.0939	132.1099												1								
1	1	C4H5O5+	133.013150		C4H5O5	133.0051	133.0212												1								
1	1	C3H5N2O4+	133.024383		C3H5N2O4	133.0168	133.0330												1								
1	1	C6H4F3+	133.025961		C6H4F3	133.0179	133.0340												1								
1	1	C5H9O4+	133.049535		C5H9O4	133.0420	133.0582												1								
1	1	C4H13OSi2+	133.049945		C4H13OSi2	133.0419	133.0580												1								
1	1	C9H9O+	133.064791		C9H9O	133.0567	133.0729												1								
1	1	C6H13O3+	133.085921		C6H13O3	133.0778	133.0940												1								
1	1	C10H13+	133.101177		C10H13	133.0931	133.1093												1								
1	1	C6H15NO2+	133.109730		C6H15NO2	133.1016	133.1178												1								
1	1	C7H17O2+	133.122306		C7H17O2	133.1142	133.1304												1								
1	1	C2H[35Cl][37Cl]2+	133.907934		C2H[35Cl][37Cl]2	133.9002	133.9157												1						explIso		
1	1	C3H4NO5+	134.008399		C3H4NO5	134.0008	134.0171												1								
1	1	C4H8NO4+	134.044784		C4H8NO4	134.0366	134.0529												1								
1	1	C6H6N4+	134.058698		C6H6N4	134.0506	134.0668												1								
1	1	C8H8NO+	134.060040		C8H8NO	134.0519	134.0682												1								
1	1	C9H10O+	134.072616		C9H10O	134.0650	134.0813												1								
1	1	C5H12NO3+	134.081170		C5H12NO3	134.0730	134.0893												1								
1	1	C8H10N2+	134.083850		C8H10N2	134.0757	134.0920												1								
1	1	C9H12N+	134.096426		C9H12N	134.0883	134.1046												1								
